Timestamp,Generation,Iteration_in_Gen,Total_Iteration,Cost,Via_1_3_pitch,Via_1_3_antipad_diameter,Via_3_5_pitch,Via_3_5_antipad_diameter,Via_5_6_pitch,Via_5_6_antipad_diameter,Via_6_8_pitch,Via_6_8_antipad_diameter,Via_8_10_pitch,Via_8_10_antipad_diameter,BGA_antipad_diameter,Cu8_trace_gap,Cu8_trace_width,Cu1_trace_gap,Cu1_trace_width
2025-08-07 20:12:55,2,17,37,1.945259,0.218934,0.250000,0.279315,0.300000,0.450000,0.376258,0.220084,0.254707,0.203978,0.220000,0.633832,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:15:08,2,18,38,2.529665,0.218934,0.250000,0.279315,0.300000,0.450000,0.376258,0.220084,0.254707,0.203978,0.220000,0.633832,0.048319,0.035000,0.040000,0.035000
2025-08-07 20:17:20,2,19,39,2.951778,0.207895,0.250000,0.279315,0.300000,0.397180,0.320000,0.218976,0.254707,0.210686,0.220000,0.633832,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:19:32,2,20,40,1.910077,0.218934,0.250000,0.279315,0.300000,0.450000,0.376258,0.210000,0.254707,0.203978,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:21:37,3,1,41,7.044465,0.218783,0.227557,0.279983,0.295974,0.449709,0.380008,0.213214,0.247314,0.203775,0.220000,0.573015,0.064807,0.034660,0.078053,0.033014
2025-08-07 20:23:54,3,2,42,7.482217,0.219223,0.184782,0.279376,0.295891,0.449857,0.376564,0.212162,0.253012,0.202662,0.220000,0.543426,0.044434,0.034600,0.052362,0.024758
2025-08-07 20:26:10,3,3,43,6.835915,0.219289,0.181671,0.279342,0.298497,0.449727,0.369111,0.215347,0.250229,0.200138,0.220000,0.496549,0.066009,0.034718,0.053686,0.032376
2025-08-07 20:28:27,3,4,44,6.978670,0.219336,0.226791,0.279851,0.297616,0.449726,0.376185,0.214974,0.253125,0.201084,0.220000,0.605764,0.044378,0.034828,0.049391,0.021448
2025-08-07 20:30:42,3,5,45,4.872755,0.219294,0.237830,0.279875,0.298056,0.449976,0.374778,0.213102,0.246468,0.200550,0.220000,0.567026,0.073031,0.034909,0.048405,0.034545
2025-08-07 20:33:04,3,6,46,5.647520,0.220000,0.250000,0.279315,0.300000,0.449614,0.367555,0.218782,0.254707,0.200000,0.220000,0.610085,0.040000,0.035000,0.040000,0.020000
2025-08-07 20:35:54,3,7,47,8.900671,0.218373,0.250000,0.280000,0.300000,0.450000,0.391192,0.218782,0.245648,0.200000,0.220000,0.450000,0.080000,0.035000,0.080000,0.020000
2025-08-07 20:38:11,3,8,48,1.853755,0.218800,0.250000,0.279577,0.300000,0.449995,0.378520,0.210000,0.254707,0.204525,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:40:23,3,9,49,1.866170,0.218525,0.250000,0.280000,0.300000,0.449983,0.382900,0.210000,0.254707,0.205280,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:42:39,3,10,50,5.226178,0.218373,0.180000,0.280000,0.295320,0.449614,0.391192,0.218782,0.254707,0.205280,0.220000,0.610085,0.080000,0.035000,0.040000,0.035000
2025-08-07 20:44:53,3,11,51,1.902526,0.218373,0.250000,0.280000,0.295320,0.449614,0.391192,0.218782,0.254707,0.205280,0.220000,0.610085,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:47:08,3,12,52,1.744183,0.220000,0.250000,0.280000,0.300000,0.450000,0.391192,0.218782,0.245648,0.205280,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:49:25,3,13,53,1.654535,0.220000,0.250000,0.280000,0.300000,0.450000,0.391192,0.218782,0.245648,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:51:37,3,14,54,1.674825,0.220000,0.250000,0.280000,0.300000,0.450000,0.391192,0.210000,0.245648,0.200000,0.220000,0.610085,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:53:18,3,15,55,1.674825,0.220000,0.250000,0.280000,0.300000,0.450000,0.391192,0.210000,0.245648,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:55:24,3,16,56,1.945267,0.218373,0.250000,0.280000,0.300000,0.450000,0.367555,0.218782,0.245648,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:57:36,3,17,57,1.755126,0.220000,0.250000,0.279315,0.300000,0.450000,0.391192,0.218782,0.245648,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:00:31,3,18,58,3.846574,0.220000,0.185865,0.280000,0.300000,0.450000,0.391192,0.210000,0.254707,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:02:47,3,19,59,1.737292,0.220000,0.250000,0.280000,0.300000,0.450000,0.391192,0.210000,0.254707,0.200000,0.220000,0.610085,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:05:01,3,20,60,1.853069,0.220000,0.250000,0.280000,0.295906,0.449614,0.391192,0.210000,0.245648,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:07:23,4,1,61,7.612886,0.220000,0.232774,0.257900,0.290752,0.392340,0.393522,0.221879,0.241072,0.201948,0.220000,0.586677,0.069550,0.027394,0.056422,0.029303
2025-08-07 21:09:45,4,2,62,10.167704,0.220000,0.193443,0.227007,0.231230,0.397688,0.392066,0.218124,0.240746,0.204158,0.220000,0.604600,0.046278,0.027179,0.075385,0.020517
2025-08-07 21:12:03,4,3,63,8.643001,0.220000,0.180984,0.264059,0.232636,0.395392,0.394112,0.216442,0.249077,0.201939,0.220000,0.614657,0.066880,0.034567,0.049874,0.023352
2025-08-07 21:14:28,4,4,64,8.389114,0.220000,0.204097,0.253892,0.255875,0.383204,0.392970,0.210252,0.240121,0.200093,0.220000,0.556533,0.058719,0.034687,0.055839,0.021881
2025-08-07 21:17:21,4,5,65,10.179324,0.220000,0.201881,0.214852,0.292447,0.442596,0.391955,0.215475,0.244334,0.202694,0.220000,0.547519,0.076101,0.022165,0.066204,0.022020
2025-08-07 21:19:17,4,6,66,2.148495,0.220000,0.248335,0.280000,0.300000,0.450000,0.391192,0.222484,0.245371,0.200000,0.220000,0.650000,0.040000,0.035000,0.040000,0.034147
2025-08-07 21:21:32,4,7,67,7.961755,0.220000,0.180000,0.280000,0.300000,0.350000,0.391192,0.222484,0.245536,0.200000,0.220000,0.450000,0.080000,0.032037,0.080000,0.035000
2025-08-07 21:26:06,4,8,68,10.729229,0.220000,0.250000,0.280000,0.220000,0.350000,0.395920,0.210000,0.253537,0.204598,0.220000,0.450000,0.080000,0.020000,0.080000,0.020000
2025-08-07 21:28:33,4,9,69,4.665974,0.220000,0.180000,0.200000,0.300000,0.350000,0.395920,0.210000,0.253537,0.204598,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:32:25,4,10,70,8.673377,0.220000,0.180000,0.200000,0.220000,0.350000,0.395920,0.210000,0.239572,0.200000,0.220000,0.650000,0.080000,0.020000,0.040000,0.035000
